px_R,px_L,x_R,x_L
-2.9719e-24,-2.5303e-24,2.6342e+05,39947
-3.1486e-24,-3.6524e-24,2.68e+05,8149.2
-3.2137e-24,-3.6581e-24,2.7136e+05,12190
-3.2121e-24,-2.217e-24,2.8277e+05,44483
-3.0291e-24,-7.2874e-25,2.6393e+05,65282
-3.2091e-24,-1.6581e-24,2.7527e+05,53041
3.136e-25,-2.8979e-24,3.4459e+05,33383
-1.878e-24,-1.8343e-24,3.1615e+05,50815
-3.017e-24,-3.4601e-24,2.654e+05,22024
-3.1187e-24,-3.2062e-24,2.978e+05,27775
2.3296e-25,-1.0832e-24,3.4591e+05,59550
-3.2736e-24,-4.5352e-25,2.9004e+05,71293
1.368e-24,-1.3399e-24,3.7663e+05,56540
1.4493e-25,-1.5825e-24,3.5423e+05,54013
3.3294e-24,-2.3494e-24,4.0245e+05,42785
-3.016e-24,-1.8079e-24,2.6476e+05,51211
-3.3012e-24,-1.8546e-24,2.897e+05,50593
1.337e-26,-2.1548e-24,3.3998e+05,45665
3.155e-25,-2.9533e-24,3.6369e+05,32403
3.0484e-24,-1.2453e-24,3.9754e+05,57633
-2.6866e-24,-3.3818e-24,3.06e+05,528.82
-3.0365e-24,-7.6376e-25,2.6597e+05,65055
-1.0206e-24,-3.6481e-24,3.2802e+05,13578
-3.2082e-24,-2.706e-24,2.7602e+05,36766
-3.1724e-24,-1.2918e-24,2.9608e+05,57221
-3.0434e-24,-2.4503e-24,2.6492e+05,41401
-1.4277e-24,-3.6605e-24,3.2236e+05,12166
-2.8784e-24,-2.9508e-24,2.613e+05,32494
-3.0441e-24,-3.3865e-24,2.6521e+05,23756
-8.0186e-25,-2.8274e-24,3.2994e+05,34654
-3.2094e-24,-2.7015e-24,2.756e+05,36860
-3.1889e-24,-9.2496e-25,2.8304e+05,61679
1.5796e-25,-5.1411e-25,3.4449e+05,70435
2.3512e-25,-6.151e-25,3.4954e+05,67671
-3.0202e-24,-1.3306e-24,2.6331e+05,56747
-2.9309e-24,-1.1576e-24,2.6201e+05,58793
8.686e-25,-4.0536e-25,3.7246e+05,81804
-2.8989e-24,-2.0193e-24,2.6144e+05,48256
-3.2706e-24,-3.3378e-24,2.8615e+05,24913
1.8028e-24,-2.7231e-24,3.808e+05,36503
3.2899e-26,-3.6373e-24,3.4261e+05,16988
1.4748e-25,-7.691e-25,3.5598e+05,64034
-2.9726e-24,-7.7709e-25,2.635e+05,63544
8.6565e-25,-3.5356e-24,3.6895e+05,20488
