px_R,px_L,x_R,x_L
2.5903e-24,-2.3307e-24,1.4723e+05,1889.3
2.576e-24,-2.3745e-24,1.4953e+05,1094.3
2.6017e-24,-2.3897e-24,1.5277e+05,1059.8
2.5877e-24,-2.3657e-24,1.5118e+05,3266.8
2.5841e-24,-2.3782e-24,1.4973e+05,296.31
2.5817e-24,-2.4204e-24,1.5139e+05,541.37
2.5633e-24,-2.4163e-24,1.4328e+05,3682.1
2.5669e-24,-2.4345e-24,1.4479e+05,980.73
2.5999e-24,-2.4127e-24,1.4742e+05,18.668
2.579e-24,-2.4123e-24,1.5019e+05,1913.3
2.6188e-24,-2.4348e-24,1.5308e+05,2022.7
2.5751e-24,-2.4595e-24,1.4563e+05,242.86
2.637e-24,-2.4505e-24,1.5834e+05,840.32
2.6009e-24,-2.4542e-24,1.5248e+05,790.27
2.6458e-24,-2.4529e-24,1.5467e+05,1724.7
2.6027e-24,-2.4571e-24,1.4763e+05,1914
2.5858e-24,-2.4612e-24,1.4996e+05,1198.9
2.62e-24,-2.4518e-24,1.5288e+05,1328.7
2.6256e-24,-2.4714e-24,1.5349e+05,127.54
2.6522e-24,-2.441e-24,1.5473e+05,2963.1
2.616e-24,-2.4537e-24,1.5284e+05,4006.3
2.6e-24,-2.4921e-24,1.4759e+05,80.784
2.5839e-24,-2.4437e-24,1.5149e+05,4933.2
2.6009e-24,-2.4584e-24,1.4891e+05,3018.7
2.5823e-24,-2.4773e-24,1.5009e+05,233.5
2.5673e-24,-2.4582e-24,1.5191e+05,3740.1
2.5907e-24,-2.4089e-24,1.5294e+05,6796.7
2.5716e-24,-2.4677e-24,1.4883e+05,1567.6
2.568e-24,-2.4502e-24,1.5093e+05,3735.1
2.5442e-24,-2.4883e-24,1.4515e+05,228.87
2.5566e-24,-2.4466e-24,1.5107e+05,4238.8
2.5695e-24,-2.4546e-24,1.4663e+05,10921
2.5827e-24,-2.481e-24,1.5207e+05,644.03
2.5797e-24,-2.492e-24,1.5194e+05,540.48
2.5566e-24,-2.4851e-24,1.505e+05,2611.5
2.5627e-24,-2.4974e-24,1.4886e+05,1281.4
2.66e-24,-2.4952e-24,1.5626e+05,579.72
2.5538e-24,-2.4801e-24,1.4936e+05,1651.9
2.5653e-24,-2.461e-24,1.521e+05,4526.5
2.6418e-24,-2.4851e-24,1.5528e+05,2194.1
2.574e-24,-2.45e-24,1.5204e+05,5980.6
2.6244e-24,-2.4774e-24,1.5927e+05,1771.3
2.5782e-24,-2.4562e-24,1.4755e+05,5315.4
2.5306e-24,-2.4706e-24,1.4326e+05,4118.6
2.5839e-24,-2.4931e-24,1.4871e+05,2817.8
2.5828e-24,-2.4812e-24,1.4769e+05,3392.5
2.5718e-24,-2.4193e-24,1.4988e+05,8137.8
2.5742e-24,-2.4988e-24,1.5239e+05,1041.5
2.5704e-24,-2.491e-24,1.4924e+05,1268.1
2.6558e-24,-2.5014e-24,1.5709e+05,1048.9
2.5872e-24,-2.4796e-24,1.5357e+05,7752.6
2.5311e-24,-2.4874e-24,1.5012e+05,4799.6
2.5971e-24,-2.4904e-24,1.5355e+05,4221.9
2.5437e-24,-2.4895e-24,1.5013e+05,4014
2.5612e-24,-2.514e-24,1.5249e+05,882.49
2.6232e-24,-2.5078e-24,1.5496e+05,3143
2.5584e-24,-2.5051e-24,1.5233e+05,1941.3
2.5944e-24,-2.4625e-24,1.536e+05,6462.1
2.5705e-24,-2.5069e-24,1.5255e+05,3454.3
2.5342e-24,-2.4969e-24,1.4987e+05,2010
2.5712e-24,-2.502e-24,1.5293e+05,1929.2
2.6397e-24,-2.5053e-24,1.5658e+05,1005.6
2.6328e-24,-2.4813e-24,1.599e+05,6578
2.5794e-24,-2.4741e-24,1.5326e+05,7189.7
2.5373e-24,-2.4804e-24,1.5069e+05,6140.8
2.5535e-24,-2.4786e-24,1.4924e+05,5501.4
2.539e-24,-2.4719e-24,1.4507e+05,5186.5
2.561e-24,-2.5228e-24,1.4636e+05,197.14
2.5396e-24,-2.5124e-24,1.5118e+05,2795.7
2.6183e-24,-2.5036e-24,1.5685e+05,2148.1
2.6269e-24,-2.531e-24,1.5583e+05,9004
2.6183e-24,-2.5095e-24,1.5703e+05,5042.7
2.5386e-24,-2.5091e-24,1.5161e+05,3793.6
2.5875e-24,-2.517e-24,1.5323e+05,3098.1
2.5761e-24,-2.4881e-24,1.5288e+05,6752.4
2.6219e-24,-2.4892e-24,1.5614e+05,6073.9
2.5941e-24,-2.5141e-24,1.5691e+05,3220.6
2.6091e-24,-2.5245e-24,1.5566e+05,2150.7
2.6112e-24,-2.5046e-24,1.5478e+05,4253.8
2.6133e-24,-2.5109e-24,1.5489e+05,5929.3
2.6001e-24,-2.5276e-24,1.5458e+05,2291.7
2.5668e-24,-2.5494e-24,1.5318e+05,1022.2
2.5867e-24,-2.5273e-24,1.5868e+05,3029.4
2.601e-24,-2.509e-24,1.5653e+05,4338.7
2.5869e-24,-2.5126e-24,1.5373e+05,5354.3
2.5961e-24,-2.4948e-24,1.5691e+05,4380.9
2.5612e-24,-2.504e-24,1.5798e+05,5808.6
2.5782e-24,-2.5056e-24,1.5886e+05,6776.2
2.5842e-24,-2.5409e-24,1.5868e+05,1515.9
2.5904e-24,-2.5288e-24,1.5407e+05,9664.2
2.5134e-24,-2.5039e-24,1.502e+05,5422
2.5304e-24,-2.5278e-24,1.5202e+05,299.46
2.5672e-24,-2.5653e-24,1.5824e+05,1372.5
2.6076e-24,-2.5285e-24,1.5486e+05,7733.2
2.6063e-24,-2.5146e-24,1.546e+05,6545.3
2.6026e-24,-2.5383e-24,1.5443e+05,8558.6
2.5246e-24,-2.5345e-24,1.5003e+05,10586
2.5703e-24,-2.5548e-24,1.5742e+05,1967.3
2.5405e-24,-2.5571e-24,1.5227e+05,1913.1
2.5586e-24,-2.5538e-24,1.5796e+05,772.84
2.5764e-24,-2.5317e-24,1.5386e+05,8803.3
2.5867e-24,-2.5399e-24,1.5513e+05,3701
2.5105e-24,-2.5284e-24,1.5145e+05,4613.3
2.5441e-24,-2.5312e-24,1.5827e+05,5383.5
2.5815e-24,-2.5652e-24,1.5511e+05,1128
2.5505e-24,-2.5323e-24,1.5679e+05,8355.4
2.572e-24,-2.5303e-24,1.5437e+05,6510.2
2.5351e-24,-2.5217e-24,1.5829e+05,6250.6
2.5745e-24,-2.5359e-24,1.5923e+05,3680.5
2.4982e-24,-2.5294e-24,1.4909e+05,6470.5
2.558e-24,-2.5522e-24,1.5646e+05,2405.3
2.5151e-24,-2.5215e-24,1.4807e+05,6827.4
2.5712e-24,-2.5697e-24,1.561e+05,428.76
