x_index        y_index        z_index      Dose (Gy)
0              0              0    5.50855e-09
1              0              0    5.54672e-09
2              0              0     6.9041e-09
3              0              0    6.70005e-09
4              0              0    6.86119e-09
5              0              0     5.8759e-09
6              0              0    6.03608e-09
7              0              0    6.01338e-09
8              0              0    9.31774e-09
9              0              0    6.26715e-09
10              0              0    6.52584e-09
11              0              0    6.60811e-09
12              0              0    6.65796e-09
13              0              0    7.00738e-09
14              0              0    7.11428e-09
15              0              0     7.3091e-09
16              0              0     7.7303e-09
17              0              0    7.96187e-09
18              0              0    1.08875e-08
19              0              0    9.26106e-09
20              0              0    8.83818e-09
21              0              0    9.04989e-09
22              0              0    9.73795e-09
23              0              0    1.05675e-08
24              0              0    1.14844e-08
25              0              0    1.28461e-08
26              0              0     1.4976e-08
27              0              0    1.90726e-08
28              0              0    2.55441e-08
29              0              0     1.6867e-08
30              0              0    2.56475e-09
31              0              0    4.47599e-10
32              0              0              0
33              0              0              0
34              0              0              0
35              0              0              0
36              0              0              0
37              0              0              0
38              0              0              0
39              0              0              0
