i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       He3_D          He3_T          alpha_D        alpha_T        C12_D          C12_T          C13_D          C13_T          N14_D          N14_T          N15_D          N15_T          O15_D          O15_T          O16_D          O16_T          

0	0	0	1.1085         1.10854        1.1085         1.10854        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
1	0	0	1.12568        1.1255         1.12568        1.1255         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
2	0	0	2.8587         1.34312        1.14341        1.14346        10.7827        6.93278        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
3	0	0	1.88486        1.26701        1.16261        1.16266        7.21459        3.35641        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
4	0	0	134.381        1.32277        1.18485        1.18512        24.1339        7.34785        0              0              0              0              0              0              0              0              1069.08        1069.08        0              0              0              0              0              0              
5	0	0	1.20481        1.20486        1.20481        1.20486        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
6	0	0	1.22785        1.22769        1.22785        1.22769        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
7	0	0	1.26491        1.25277        1.25217        1.2519         39.853         40.4547        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
8	0	0	56.0914        1.65243        1.29523        1.29457        6.55614        3.7861         0              0              0              0              0              0              0              0              0              0              3.96646        3.96646        1066.37        1066.37        0              0              
9	0	0	1.31457        1.30608        1.30535        1.30521        36.8287        40.8759        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
10	0	0	1.33563        1.33544        1.33563        1.33544        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
11	0	0	1.36862        1.36816        1.36862        1.36816        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
12	0	0	1.40413        1.40335        1.40413        1.40335        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
13	0	0	1.59609        1.44547        1.44236        1.44183        81.0015        76.6585        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
14	0	0	1.6381         1.48556        1.48472        1.48418        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              113.785        113.785        
15	0	0	1.53195        1.53074        1.53195        1.53074        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
16	0	0	1.58423        1.58302        1.58423        1.58302        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
17	0	0	1.64361        1.64207        1.64361        1.64207        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
18	0	0	13.3802        2.1278         1.71649        1.7162         7.86107        4.72094        0              0              119.285        109.15         335.724        335.724        0              0              0              0              0              0              0              0              141.79         138.908        
19	0	0	55.0649        1.97909        1.78947        1.78803        31.0354        26.194         178.668        178.668        0              0              0              0              843.597        843.597        0              0              0              0              0              0              0              0              
20	0	0	3.21796        1.88285        1.87843        1.87574        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              264.159        264.159        
21	0	0	1.98395        1.9813         1.98395        1.9813         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
22	0	0	2.11234        2.10802        2.11234        2.10802        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
23	0	0	2.27475        2.26823        2.27475        2.26823        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
24	0	0	2.49039        2.47759        2.49039        2.47759        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
25	0	0	2.79183        2.76815        2.79183        2.76815        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
26	0	0	3.29028        3.22597        3.29028        3.22597        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
27	0	0	4.78272        4.15345        4.78272        4.15345        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
28	0	0	9.41427        6.43614        9.41427        6.43614        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
29	0	0	17.3805        9.6856         14.8937        9.64673        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              431.571        431.571        
30	0	0	15.5242        10.0771        15.5242        10.0771        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
31	0	0	20.1327        14.9882        20.1327        14.9882        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
32	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
33	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
34	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
35	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
36	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
37	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
38	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
39	0	0	0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
